"","release_date","movie","production_budget","domestic_gross","worldwide_gross","distributor","mpaa_rating","genre"
"961",1987-07-31,"The Living Daylights",40000000,51185000,191200000,"MGM","PG","Action"
"962",2006-12-08,"Apocalypto",40000000,50866635,121032272,"Walt Disney","R","Action"
"963",1986-06-18,"Legal Eagles",40000000,49851591,49851591,"Universal","PG","Comedy"
"964",2005-08-12,"The Skeleton Key",40000000,47907715,92256918,"Universal","PG-13","Horror"
"965",2014-06-20,"Jersey Boys",40000000,47047013,65282732,"Warner Bros","R","Drama"
"966",1997-11-21,"The Rainmaker",40000000,45916769,45916769,"Paramount Pictures","PG-13","Drama"
"967",1992-02-07,"Medicine Man",40000000,44948240,44948240,"Walt Disney","PG-13","Drama"
"968",1997-12-12,"Amistad",40000000,44212592,58250151,"Dreamworks SKG","R","Drama"
"969",2014-05-30,"A Million Ways to Die in The West",40000000,42720965,86778557,"Universal","R","Comedy"
"970",2011-08-12,"Final Destination 5",40000000,42587643,155011165,"Warner Bros","R","Horror"
"971",2007-12-25,"Aliens vs. Predator - Requiem",40000000,41797066,128884494,"20th Century Fox","R","Action"
"972",2007-12-25,"The Water Horse: Legend of the Deep",40000000,40412817,103429755,"Sony Pictures","PG","Drama"
"973",2014-07-18,"Sex Tape",40000000,38543473,126069509,"Sony Pictures","R","Comedy"
"974",2011-04-15,"Scream 4",40000000,38180928,95989590,"Weinstein Dimension","R","Horror"
"975",1994-12-21,"Ri¢hie Ri¢h",40000000,38087756,38087756,"Warner Bros","PG","Comedy"
"976",2000-08-11,"Autumn in New York",40000000,37752931,90717684,"MGM","PG-13","Drama"
"977",2011-03-18,"Paul",40000000,37412945,101162106,"Universal","R","Comedy"
"978",2012-12-19,"The Guilt Trip",40000000,37134215,41294674,"Paramount Pictures","PG-13","Comedy"
"979",2000-02-18,"Hanging Up",40000000,36037909,51867723,"Sony Pictures","PG-13","Comedy"
"980",1991-03-01,"The Doors",40000000,34416893,34416893,"Sony Pictures","R","Drama"
"981",1999-08-20,"Mickey Blue Eyes",40000000,33864342,53864342,"Warner Bros","PG-13","Comedy"
"982",2000-10-20,"Pay it Forward",40000000,33508922,55696705,"Warner Bros","PG-13","Drama"
"983",2008-03-21,"Drillbit Taylor",40000000,32862104,49686263,"Paramount Pictures","PG-13","Comedy"
"984",2011-12-25,"Extremely Loud and Incredibly Close",40000000,31847881,55247881,"Warner Bros","PG-13","Drama"
"985",1994-07-01,"The Shadow",40000000,31835600,31835600,"Universal","PG-13","Action"
