"","release_date","movie","production_budget","domestic_gross","worldwide_gross","distributor","mpaa_rating","genre"
"1688",2011-11-16,"The Descendants",20000000,82624961,175507800,"Fox Searchlight","R","Drama"
"1689",2003-10-03,"School of Rock",20000000,81261177,131944672,"Paramount Pictures","PG-13","Comedy"
"1690",1993-07-16,"Free Willy",20000000,77698625,153698625,"Warner Bros","PG","Adventure"
"1691",1995-08-18,"Mortal Kombat",20000000,70433227,122133227,"New Line","PG-13","Action"
"1692",2004-06-23,"White Chicks",20000000,69148997,111448997,"Sony Pictures","PG-13","Comedy"
"1693",2003-04-18,"Holes",20000000,67383924,71232214,"Walt Disney","PG","Drama"
"1694",2010-03-31,"The Last Song",20000000,62950384,92678948,"Walt Disney","PG","Drama"
"1695",2010-04-02,"Why Did I Get Married Too?",20000000,60095852,60831067,"Lionsgate","PG-13","Drama"
"1696",1998-10-23,"La vita Ã¨ bella",20000000,57598247,229385361,"Miramax","PG-13","Drama"
"1697",2013-10-18,"12 Years a Slave",20000000,56671993,181025343,"Fox Searchlight","R","Drama"
"1698",2002-12-13,"Drumline",20000000,56398162,56398162,"20th Century Fox","PG-13","Comedy"
"1699",2016-06-03,"Me Before You",20000000,56245075,208314186,"Warner Bros","PG-13","Drama"
"1700",2016-04-15,"Barbershop: The Next Cut",20000000,54030051,54404202,"Warner Bros","PG-13","Comedy"
"1701",1990-12-07,"Edward Scissorhands",20000000,53976987,53976987,"20th Century Fox","PG-13","Comedy"
"1702",2015-01-09,"Selma",20000000,52076908,66776576,"Paramount Pictures","PG-13","Drama"
"1703",2006-02-17,"Date Movie",20000000,48548426,85146165,"20th Century Fox","PG-13","Comedy"
"1704",2002-02-15,"Peter Pan: Return to Neverland",20000000,48430258,109862682,"Walt Disney","G","Adventure"
"1705",2003-02-14,"The Jungle Book 2",20000000,47901582,140122225,"Walt Disney","G","Adventure"
"1706",2005-02-04,"Boogeyman",20000000,46752382,67192859,"Sony Pictures","PG-13","Horror"
"1707",2000-02-11,"The Tigger Movie",20000000,45542421,96147688,"Walt Disney","G","Adventure"
"1708",2015-11-06,"Spotlight",20000000,45055776,92108847,"Open Road","R","Drama"
"1709",2015-06-26,"Max",20000000,42656255,43658157,"Warner Bros","PG","Adventure"
"1710",2008-03-21,"Meet the Browns",20000000,41975388,41975388,"Lionsgate","PG-13","Comedy"
"1711",2009-07-24,"Orphan",20000000,41596251,78769428,"Warner Bros","R","Drama"
"1712",2017-11-17,"The Star",20000000,40847995,62758010,"Sony Pictures","PG","Adventure"
"1713",2007-01-26,"Epic Movie",20000000,39739367,86858578,"20th Century Fox","PG-13","Comedy"
"1714",2006-10-13,"The Grudge 2",20000000,39143839,70743839,"Sony Pictures","PG-13","Horror"
"1715",1982-05-14,"Conan the Barbarian",20000000,38264085,79114085,"Universal",NA,"Action"
"1716",1998-08-14,"How Stella Got Her Groove Back",20000000,37672944,37672944,"20th Century Fox","R","Drama"
"1717",1991-07-19,"Bill & Ted's Bogus Journey",20000000,37537675,37537675,"Orion Pictures","PG","Adventure"
"1718",2006-10-13,"Man of the Year",20000000,37442180,41342180,"Universal","PG-13","Comedy"
"1719",2016-02-19,"Risen",20000000,36880033,46255763,"Sony Pictures","PG-13","Drama"
"1720",2010-08-18,"Vampires Suck",20000000,36661504,81424988,"20th Century Fox","PG-13","Comedy"
"1721",1997-03-21,"Selena",20000000,35450113,35450113,"Warner Bros","PG","Drama"
"1722",2011-11-04,"A Very Harold & Kumar 3D Christmas",20000000,35061031,36265745,"Warner Bros","R","Comedy"
"1723",2013-01-04,"Texas Chainsaw 3D",20000000,34341945,47666013,"Lionsgate","R","Horror"
"1724",2006-10-27,"Babel",20000000,34302837,132121212,"Paramount Vantage","R","Drama"
"1725",2014-09-19,"This is Where I Leave You",20000000,34296320,41296320,"Warner Bros","R","Comedy"
"1726",2008-12-12,"Doubt",20000000,33446470,53191101,"Miramax","PG-13","Drama"
"1727",2004-10-15,"Team America: World Police",20000000,32774834,50948811,"Paramount Pictures","R","Comedy"
"1728",2013-04-12,"Scary Movie V",20000000,32015787,78613981,"Weinstein Co","PG-13","Comedy"
"1729",2008-11-26,"Milk",20000000,31841299,57293371,"Focus Features","R","Drama"
"1730",2002-10-25,"Ghost Ship",20000000,30113491,68349884,"Warner Bros","R","Horror"
"1731",2010-01-08,"Daybreakers",20000000,30101577,51445503,"Lionsgate","R","Horror"
"1732",2000-03-31,"High Fidelity",20000000,27277055,47881663,"Walt Disney","R","Comedy"
"1733",2006-04-28,"Stick It",20000000,26910736,30399714,"Walt Disney","PG-13","Comedy"
"1734",2008-01-04,"One Missed Call",20000000,26890041,44513466,"Warner Bros","PG-13","Horror"
"1735",1996-01-12,"Eye for an Eye",20000000,26792700,26792700,"Paramount Pictures","R","Drama"
"1736",2013-08-23,"The World's End",20000000,26004851,47508505,"Focus Features","R","Comedy"
"1737",1996-01-19,"From Dusk Till Dawn",20000000,25728961,25732986,"Miramax Dimension","R","Horror"
"1738",2010-09-24,"You Again",20000000,25702053,32838945,"Walt Disney","PG","Comedy"
"1739",2010-09-17,"Alpha and Omega 3D",20000000,25107267,48958353,"Lionsgate","PG","Adventure"
"1740",2006-03-24,"Stay Alive",20000000,23086480,23187506,"Walt Disney","PG-13","Horror"
"1741",2005-10-07,"2 For the Money",20000000,22991379,30491379,"Universal","R","Drama"
"1742",2009-08-21,"Shorts",20000000,20919166,29870801,"Warner Bros","PG","Adventure"
"1743",1998-10-30,"Vampires",20000000,20268825,20268825,"Sony Pictures","R","Horror"
"1744",2004-08-13,"Yu-Gi-Oh",20000000,19762690,28762690,"Warner Bros","PG","Adventure"
"1745",2007-03-23,"Reign Over Me",20000000,19661987,20081987,"Sony Pictures","R","Drama"
"1746",2008-09-19,"My Best Friend's Girl",20000000,19219250,34787111,"Lionsgate","R","Comedy"
"1747",2007-05-11,"Georgia Rule",20000000,18882880,20819601,"Universal","R","Drama"
"1748",1981-07-31,"Under the Rainbow",20000000,18826490,18826490,"Warner Bros",NA,"Comedy"
"1749",1985-04-12,"Ladyhawke",20000000,18400000,18400000,"Warner Bros",NA,"Action"
"1750",2007-09-21,"Into the Wild",20000000,18354356,56822960,"Paramount Vantage","R","Drama"
"1751",1998-09-11,"Simon Birch",20000000,18253415,18310591,"Walt Disney","PG","Drama"
"1752",2005-02-11,"Pooh's Heffalump Movie",20000000,18098433,55686944,"Walt Disney","G","Adventure"
"1753",2006-09-29,"School for Scoundrels",20000000,17807569,17807569,"MGM","PG-13","Comedy"
"1754",2012-10-26,"Silent Hill: Revelation 3D",20000000,17530219,55975672,"Open Road","R","Horror"
"1755",1995-11-03,"Home for the Holidays",20000000,17468887,22119269,"Paramount Pictures","PG-13","Comedy"
"1756",2017-03-31,"The Zookeeper€™s Wife",20000000,17445186,24521550,"Focus Features","PG-13","Drama"
"1757",2009-02-20,"Fired Up",20000000,17231291,18608570,"Sony Pictures","PG-13","Comedy"
"1758",2005-04-08,"Kung Fu Hustle",20000000,17104669,102034104,"Sony Pictures Classics","R","Action"
"1759",2002-07-26,"The Country Bears",20000000,16988996,16988996,"Walt Disney","G","Adventure"
"1760",2007-03-16,"Dead Silence",20000000,16574590,20614661,"Universal","R","Horror"
"1761",2003-11-21,"21 Grams",20000000,16248701,59667625,"Focus Features","R","Drama"
"1762",2007-12-14,"The Kite Runner",20000000,15800078,74180745,"Paramount Vantage","PG-13","Drama"
"1763",1965-02-15,"The Greatest Story Ever Told",20000000,15473333,15473333,"MGM","G","Drama"
"1764",1998-03-06,"Twilight",20000000,15055091,15055091,"Paramount Pictures","R","Drama"
"1765",2008-08-29,"Disaster Movie",20000000,14190901,36720752,"Lionsgate","PG-13","Comedy"
"1766",1997-11-14,"The Man Who Knew Too Little",20000000,13801755,13801755,"Warner Bros","PG","Comedy"
"1767",2015-10-30,"Burnt",20000000,13651946,36780895,"Weinstein Co","R","Comedy"
"1768",2004-04-30,"Envy",20000000,13548322,14566246,"Dreamworks SKG","PG-13","Comedy"
"1769",2006-10-13,"One Night with the King",20000000,13395961,13725032,"Rocky Mountain Pict","PG","Drama"
"1770",1994-10-21,"Bullets Over Broadway",20000000,13383747,13383747,"Miramax","R","Comedy"
"1771",2002-11-22,"The Quiet American",20000000,12987647,26348203,"Miramax","R","Drama"
"1772",2016-09-02,"The Light Between Oceans",20000000,12545979,21748977,"Walt Disney","PG-13","Drama"
"1773",2005-10-28,"The Weather Man",20000000,12482775,15466961,"Paramount Pictures","R","Drama"
"1774",2002-08-23,"Undisputed",20000000,12398628,12398628,"Miramax","R","Drama"
"1775",2009-03-27,"12 Rounds",20000000,12234694,17306648,"20th Century Fox","PG-13","Action"
"1776",1994-05-06,"3 Ninjas Kick Back",20000000,11744960,11744960,"Walt Disney","PG","Action"
"1777",2008-02-22,"Be Kind Rewind",20000000,11175164,30894247,"New Line","PG-13","Comedy"
"1778",2005-12-09,"Mrs. Henderson Presents",20000000,11036366,27836366,"Weinstein Co","R","Comedy"
"1779",1989-12-15,"We're No Angels",20000000,10555348,10555348,"Paramount Pictures","PG-13","Comedy"
"1780",2007-08-31,"Death Sentence",20000000,9534258,16907831,"20th Century Fox","R","Action"
"1781",2016-06-03,"Popstar: Never Stop Never Stopping",20000000,9496130,9537120,"Universal","R","Comedy"
"1782",2017-10-27,"Thank You for Your Service",20000000,9479390,9985316,"Universal","R","Drama"
"1783",2009-12-04,"Everybody's Fine",20000000,9208876,9208876,"Miramax","PG-13","Drama"
"1784",2004-08-27,"Superbabies: Baby Geniuses 2",20000000,9109322,9355369,"Sony Pictures","PG","Adventure"
"1785",2013-09-20,"Battle of the Year",20000000,8888355,16723377,"Sony Pictures","PG-13","Drama"
"1786",2016-04-29,"Ratchet and Clank",20000000,8813410,12769469,"Focus Features","PG","Adventure"
"1787",2007-08-17,"Death at a Funeral",20000000,8580428,46790428,"MGM","R","Comedy"
"1788",2005-09-09,"The Man",20000000,8330720,10393696,"New Line","PG-13","Comedy"
"1789",2007-01-05,"Code Name: The Cleaner",20000000,8135024,8135024,"New Line","PG-13","Comedy"
"1790",2014-12-12,"Inherent Vice",20000000,8110975,14772346,"Warner Bros","R","Drama"
"1791",2004-04-16,"Connie & Carla",20000000,8047525,8047525,"Universal","PG-13","Comedy"
"1792",2013-10-11,"Machete Kills",20000000,8008161,18273009,"Open Road","R","Action"
"1793",2006-02-24,"Doogal",20000000,7578946,28058652,"Weinstein Co","G","Adventure"
"1794",2005-09-16,"Proof",20000000,7535331,8284331,"Miramax","PG-13","Drama"
"1795",2008-10-03,"An American Carol",20000000,7013191,7022183,"Vivendi Entertainment","PG-13","Comedy"
"1796",2003-03-14,"Willard",20000000,6882696,6882696,"New Line","PG-13","Horror"
"1797",2008-02-01,"Strange Wilderness",20000000,6575282,6947084,"Paramount Vantage","R","Comedy"
"1798",2015-04-24,"Little Boy",20000000,6485961,17768390,"Open Road","PG-13","Drama"
"1799",2012-10-26,"Chasing Mavericks",20000000,6002756,8300821,"20th Century Fox","PG","Drama"
"1800",2014-12-31,"A Most Violent Year",20000000,5749134,8398291,"A24","R","Drama"
"1801",2011-11-23,"A Dangerous Method",20000000,5702083,14807531,"Sony Pictures Classics","R","Drama"
"1802",2009-08-14,"Bandslam",20000000,5210988,12967829,"Summit Entertainment","PG","Comedy"
"1803",2005-01-28,"Alone in the Dark",20000000,5178569,8178569,"Lionsgate","R","Horror"
"1804",2004-10-29,"Birth",20000000,5005899,14603001,"New Line","R","Drama"
"1805",2016-08-26,"Hands of Stone",20000000,4712792,5032013,"Weinstein Co","R","Drama"
"1806",2008-10-03,"Flash of Genius",20000000,4442377,4504111,"Universal","PG-13","Drama"
"1807",2007-11-21,"I€™m Not There",20000000,4017609,12397613,"Weinstein Co","R","Drama"
"1808",2008-10-24,"Synecdoche, New York",20000000,3083538,4383538,"Sony Pictures Classics","R","Drama"
"1809",2017-11-03,"LBJ",20000000,2468683,2507181,"Electric Entertainment","R","Drama"
"1810",1999-10-29,"Mononoke-hime",20000000,2374107,150350000,"Miramax","PG-13","Action"
"1811",2004-03-19,"Bon Voyage",20000000,2353728,8361736,"Sony Pictures","PG-13","Comedy"
"1812",2015-11-13,"My All-American",20000000,2246000,2246000,"Clarius Entertainment","PG","Drama"
"1813",2003-08-22,"Marci X",20000000,1646664,1646664,"Paramount Pictures","R","Comedy"
"1814",2002-12-06,"Equilibrium",20000000,1190018,5345869,"Miramax Dimension","R","Action"
"1815",2011-04-29,"Dylan Dog: Dead of Night",20000000,1186538,6093725,"Omin Freestyle","PG-13","Horror"
"1816",2008-05-23,"The Children of Huang Shi",20000000,1031872,8221700,"Sony Pictures Classics","R","Drama"
"1817",2000-10-20,"The Yards",20000000,882710,2282710,"Miramax","R","Drama"
"1818",2010-08-06,"Middle Men",20000000,754301,754301,"Paramount Vantage","R","Comedy"
"1819",2010-12-03,"All Good Things",20000000,582024,873617,"Magnolia Pictures","R","Drama"
"1820",2015-11-13,"By the Sea",20000000,538460,3727746,"Universal","R","Drama"
"1821",2005-03-18,"Steamboy",20000000,468867,10468867,"Sony Pictures","PG-13","Action"
"1822",2005-04-22,"The Game of Their Lives",20000000,375474,375474,"IFC Films","PG","Drama"
"1823",2010-12-10,"The Tempest",20000000,277943,277943,"Miramax","PG-13","Drama"
"1824",2008-03-07,"é•·æ±Ÿä¸ƒè™Ÿ (CJ7)",20000000,206678,47300771,"Sony Pictures Classics","PG","Adventure"
"1825",2009-09-18,"The Burning Plain",20000000,200730,1167092,"Magnolia Pictures","R","Drama"
"1826",2004-03-31,"The Touch",20000000,0,5918742,"Miramax","PG-13","Adventure"
"1827",2014-08-29,"Dwegons and Leprechauns",20000000,0,0,NA,"PG","Adventure"
"1828",2009-08-21,"Der Baader Meinhof Komplex",19700000,476270,16498827,"Vitagraph Films","R","Action"
"1829",2017-12-01,"The Shape of Water",19500000,63859435,189258193,"Fox Searchlight","R","Drama"
"1830",2012-11-23,"De rouille et d€™os",19500000,2061449,29393634,"Sony Pictures Classics","R","Drama"
"1831",2006-12-20,"The Painted Veil",19400000,8060487,15118795,"Warner Independent","PG-13","Drama"
"1832",2011-07-29,"The Devil's Double",19100000,1361512,5965646,"Lionsgate","R","Drama"
"1833",1985-07-03,"Back to the Future",19000000,212259762,385524862,"Universal","PG","Adventure"
"1834",2000-07-07,"Scary Movie",19000000,157019771,277200000,"Miramax Dimension","R","Comedy"
"1835",2011-06-24,"Bad Teacher",19000000,100292856,215448997,"Sony Pictures","R","Comedy"
"1836",2016-08-12,"Sausage Party",19000000,97670358,141354394,"Sony Pictures","R","Comedy"
"1837",2009-09-11,"I Can Do Bad All By Myself",19000000,51733921,51733921,"Lionsgate","PG-13","Comedy"
"1838",1980-05-23,"The Shining",19000000,44017374,44728227,"Warner Bros","R","Horror"
"1839",2001-10-26,"Thirteen Ghosts",19000000,41867960,68467960,"Warner Bros","R","Horror"
"1840",1999-10-29,"House on Haunted Hill",19000000,40846082,65090541,"Warner Bros","R","Horror"
"1841",2009-01-16,"Notorious",19000000,36843682,44972183,"Fox Searchlight","R","Drama"
"1842",2013-11-08,"The Book Thief",19000000,21488481,76086711,"20th Century Fox","PG-13","Drama"
"1843",2007-10-19,"Gone, Baby, Gone",19000000,20300218,34352162,"Miramax","R","Drama"
"1844",2000-07-26,"Thomas and the Magic Railroad",19000000,15911332,15911332,"Destination Films","G","Adventure"
"1845",2002-09-20,"Sen to Chihiro no Kamikakushi",19000000,10049886,274949886,"Walt Disney","PG","Adventure"
"1846",2008-10-17,"Sex Drive",19000000,8402485,10412485,"Summit Entertainment","R","Comedy"
"1847",1998-01-09,"Firestorm",19000000,8123860,8123860,"20th Century Fox","R","Action"
"1848",2011-03-04,"Take Me Home Tonight",19000000,6928068,7576604,"Relativity","R","Comedy"
"1849",2012-09-28,"Won't Back Down",19000000,5310554,5745503,"20th Century Fox","PG","Drama"
"1850",2018-06-01,"Action Point",19000000,5059608,5103675,"Paramount Pictures","R","Comedy"
"1851",1996-08-16,"Kansas City",19000000,1353824,1353824,"New Line","R","Drama"
"1852",2005-06-24,"George A. Romero's Land of the Dead",18975000,20700082,47751015,"Universal","R","Horror"
"1853",2002-12-06,"Adaptation",18500000,22498520,32531759,"Sony Pictures","R","Comedy"
"1854",2009-10-02,"The Invention of Lying",18500000,18451251,32679264,"Warner Bros","PG-13","Comedy"
"1855",1998-05-22,"Fear and Loathing in Las Vegas",18500000,10680275,13711903,"Universal","R","Comedy"
"1856",2001-02-02,"Left Behind",18500000,4221341,4221341,"Cloud Ten Pictures","PG-13","Drama"
"1857",2006-11-03,"Borat",18000000,128505958,261443242,"20th Century Fox","R","Comedy"
"1858",1994-07-29,"The Mask",18000000,119920129,351620129,"New Line","PG-13","Comedy"
"1859",1988-06-03,"Big",18000000,114968774,151668774,"20th Century Fox","PG","Comedy"
"1860",2001-07-13,"Legally Blonde",18000000,96493426,141809235,"MGM","PG-13","Comedy"
"1861",2004-04-30,"Mean Girls",18000000,86047227,130953026,"Paramount Pictures","PG-13","Comedy"
"1862",1984-06-01,"Star Trek III: The Search for Spock",18000000,76471046,87000000,"Paramount Pictures","PG","Adventure"
"1863",2005-09-09,"The Exorcism of Emily Rose",18000000,75072454,144529078,"Sony Pictures","PG-13","Horror"
"1864",1999-12-10,"Deuce Bigalow: Male Gigolo",18000000,65535067,92935067,"Walt Disney","R","Comedy"
"1865",2004-01-01,"Barbershop 2: Back in Business",18000000,65070412,65842412,"MGM","PG-13","Comedy"
"1866",2005-12-16,"The Family Stone",18000000,60062868,92357499,"20th Century Fox","PG-13","Comedy"
"1867",1987-06-12,"Predator",18000000,59735548,98267558,"20th Century Fox","R","Action"
"1868",2016-03-25,"My Big Fat Greek Wedding 2",18000000,59689605,92057814,"Universal","PG-13","Comedy"
"1869",2011-03-25,"Diary of a Wimpy Kid: Rodrick Rules",18000000,52698535,73695194,"20th Century Fox","PG","Adventure"
"1870",1984-09-19,"Amadeus",18000000,51973029,51973029,"Warner Bros","R","Drama"
"1871",2008-04-11,"Prom Night",18000000,43869350,57193655,"Sony Pictures","PG-13","Horror"
"1872",2011-04-08,"Soul Surfer",18000000,43853424,47158652,"Sony Pictures","PG","Drama"
"1873",2003-09-26,"Under the Tuscan Sun",18000000,43601508,57490024,"Walt Disney","PG-13","Comedy"
"1874",1986-10-10,"Peggy Sue Got Married",18000000,41382841,41382841,"Sony TriStar","PG-13","Comedy"
"1875",2001-12-26,"Gosford Park",18000000,41300105,41300105,"USA Films","R","Comedy"
"1876",2002-01-11,"Orange County",18000000,41059716,43308707,"Paramount Pictures","PG-13","Comedy"
"1877",2013-07-26,"Blue Jasmine",18000000,33404871,102912961,"Sony Pictures Classics","PG-13","Comedy"
"1878",2006-04-28,"United 93",18000000,31567134,77635035,"Universal","R","Drama"
"1879",2003-12-05,"Honey",18000000,30272254,62646763,"Universal","PG-13","Drama"
"1880",1996-05-24,"Spy Hard",18000000,26936265,26936265,"Walt Disney","PG-13","Comedy"
"1881",2015-08-07,"Ricki and the Flash",18000000,26839498,41166033,"Sony Pictures","PG-13","Drama"
"1882",1989-12-13,"Glory",18000000,26593580,26593580,"Sony Pictures","R","Action"
"1883",1984-06-29,"Conan the Destroyer",18000000,26400000,26400000,"Universal",NA,"Action"
"1884",2015-11-13,"Love the Coopers",18000000,26302731,42227490,"CBS Films","PG-13","Comedy"
"1885",1970-06-24,"Catch-22",18000000,24911670,24911670,"Paramount Pictures",NA,"Comedy"
"1886",2009-04-10,"Observe and Report",18000000,24007324,27148898,"Warner Bros","R","Comedy"
"1887",2009-09-18,"Love Happens",18000000,22965110,36133014,"Universal","PG-13","Drama"
"1888",1985-12-04,"Young Sherlock Holmes",18000000,19739000,19739000,"Paramount Pictures","PG-13","Adventure"
"1889",2010-11-05,"127 Hours",18000000,18335230,60217171,"Fox Searchlight","R","Drama"
"1890",2000-05-19,"Small Time Crooks",18000000,17266359,29934477,"Dreamworks SKG","PG","Comedy"
"1891",2000-05-12,"Center Stage",18000000,17200925,21361109,"Sony Pictures","PG-13","Drama"
"1892",2016-01-15,"Norm of the North",18000000,17062499,30535660,"Lionsgate","PG","Adventure"
"1893",2004-02-06,"Catch That Kid",18000000,16703799,16959614,"20th Century Fox","PG","Adventure"
"1894",2013-08-16,"Jobs",18000000,16131410,43402515,"Open Road","PG-13","Drama"
"1895",2001-10-26,"Life as a House",18000000,15652637,23889158,"New Line","R","Drama"
"1896",2010-01-08,"Youth in Revolt",18000000,15285588,19685588,"Weinstein Dimension","R","Comedy"
"1897",2014-07-25,"And So It Goes",18000000,15160801,17868801,"Clarius Entertainment","PG-13","Comedy"
"1898",2009-07-10,"I Love You, Beth Cooper",18000000,14800725,16382538,"20th Century Fox","PG-13","Comedy"
"1899",2014-01-31,"Labor Day",18000000,13371528,14189810,"Paramount Pictures","PG-13","Drama"
"1900",1997-09-26,"The Ice Storm",18000000,8038061,16011975,"Fox Searchlight","R","Drama"
"1901",2004-10-15,"Being Julia",18000000,7739049,14488705,"Sony Pictures","R","Drama"
"1902",1989-03-22,"Troop Beverly Hills",18000000,7190505,7190505,"Sony Pictures",NA,"Comedy"
"1903",1986-02-21,"Nine 1/2 Weeks",18000000,6734844,6734844,"MGM",NA,"Drama"
"1904",2010-01-15,"The Last Station",18000000,6617867,15696146,"Sony Pictures Classics","R","Drama"
"1905",1981-06-26,"Dragonslayer",18000000,6000000,6000000,"Paramount Pictures",NA,"Action"
"1906",1994-09-30,"Ed Wood",18000000,5828466,5828466,"Walt Disney","R","Comedy"
"1907",2008-06-06,"Mongol",18000000,5705761,27147349,"Picturehouse","R","Drama"
"1908",2008-10-08,"RocknRolla",18000000,5700626,27794339,"Warner Bros","R","Action"
"1909",1982-06-25,"Megaforce",18000000,5675599,5675599,"20th Century Fox",NA,"Action"
"1910",2010-08-20,"Mao's Last Dancer",18000000,4806750,25941437,"Samuel Goldwyn Films","PG","Drama"
"1911",2014-04-11,"The Railway Man",18000000,4438438,23910210,"Weinstein Co","R","Drama"
"1912",1995-12-29,"Restoration",18000000,4100000,4100000,"Miramax","R","Drama"
"1913",2016-03-18,"Midnight Special",18000000,3712282,7680250,"Warner Bros","PG-13","Drama"
"1914",2016-11-25,"Miss Sloane",18000000,3500605,7727952,"EuropaCorp","R","Drama"
"1915",2017-03-17,"T2: Trainspotting",18000000,2402004,42091497,"Sony Pictures","R","Drama"
"1916",1986-04-25,"8 Million Ways to Die",18000000,1305114,1305114,"Sony Pictures",NA,"Action"
"1917",2006-09-22,"Renaissance",18000000,70644,2401413,"Miramax","R","Action"
"1918",2016-04-15,"I Am Wrath",18000000,0,309608,"Saban Films","R","Action"
"1919",2014-08-22,"The Prince",18000000,0,0,"Lionsgate","R","Action"
"1920",1985-06-28,"Red Sonja",17900000,6905861,6908640,"MGM","PG-13","Action"
"1921",2007-08-17,"Superbad",17500000,121463226,169955142,"Sony Pictures","R","Comedy"
"1922",2009-02-20,"Madea Goes To Jail",17500000,90508336,90508336,"Lionsgate","PG-13","Comedy"
"1923",2008-02-14,"Step Up 2 the Streets",17500000,58017783,148586910,"Walt Disney","PG-13","Drama"
"1924",2006-01-13,"Hoodwinked",17500000,51386611,109843390,"Weinstein Co","PG","Adventure"
"1925",2007-11-21,"Hitman",17500000,39687694,99135571,"20th Century Fox","R","Action"
"1926",2004-12-22,"Hotel Rwanda",17500000,23519128,36521223,"MGM","PG-13","Drama"
"1927",2006-08-25,"Beerfest",17500000,19185184,20159316,"Warner Bros","R","Comedy"
"1928",2003-04-25,"City of Ghosts",17500000,325491,325491,"MGM","R","Drama"
"1929",2018-04-06,"A Quiet Place",17000000,188024361,334524361,"Paramount Pictures","PG-13","Horror"
"1930",2001-08-10,"The Others",17000000,96522687,207765056,"Miramax","PG-13","Horror"
"1931",1986-07-18,"Aliens",17000000,85160248,183316455,"20th Century Fox","R","Action"
"1932",2014-08-13,"Let€™s Be Cops",17000000,82390774,136890774,"20th Century Fox","R","Comedy"
"1933",1997-10-17,"I Know What You Did Last Summer",17000000,72250091,125250091,"Sony Pictures","R","Horror"
"1934",2004-10-22,"Sideways",17000000,71502303,109793192,"Fox Searchlight","R","Drama"
"1935",2013-11-15,"The Best Man Holiday",17000000,70525195,72835710,"Universal","R","Comedy"
"1936",2012-09-28,"Pitch Perfect",17000000,65001093,116044347,"Universal","PG-13","Comedy"
"1937",1998-08-05,"Halloween: H2O",17000000,55041738,55041738,"Miramax","R","Horror"
"1938",2013-04-05,"Evil Dead",17000000,54239856,97778356,"Sony Pictures","R","Horror"
"1939",2004-08-27,"Jet Li's Hero",17000000,53652140,177535958,"Miramax","PG-13","Action"
"1940",2010-10-29,"Saw 3D",17000000,45710178,133735284,"Lionsgate","R","Horror"
"1941",2015-02-20,"McFarland, USA",17000000,44480275,45707924,"Walt Disney","PG","Drama"
"1942",2016-11-11,"Almost Christmas",17000000,42065185,42493506,"Universal","PG-13","Drama"
"1943",2006-03-10,"The Hills Have Eyes",17000000,41778863,70355813,"Fox Searchlight","R","Horror"
"1944",2003-10-10,"Good Boy!",17000000,37667746,45312217,"MGM","PG","Adventure"
"1945",2007-01-26,"Smokin' Aces",17000000,35662731,57263440,"Universal","R","Comedy"
"1946",1998-10-02,"A Night at the Roxbury",17000000,30331165,30331165,"Paramount Pictures","PG-13","Comedy"
"1947",2011-03-04,"Beastly",17000000,27865571,38028230,"CBS Films","PG-13","Drama"
"1948",1982-07-09,"Tron",17000000,26918576,26918576,"Walt Disney",NA,"Action"
"1949",2010-08-20,"Lottery Ticket",17000000,24719879,24719879,"Warner Bros","PG-13","Comedy"
"1950",2003-09-05,"Dickie Roberts: Former Child Star",17000000,22734486,23734486,"Paramount Pictures","PG-13","Comedy"
"1951",2006-03-31,"ATL",17000000,21170563,21170563,"Warner Bros","PG-13","Comedy"
"1952",2001-08-24,"Summer Catch",17000000,19693891,19693891,"Warner Bros","PG-13","Comedy"
"1953",1998-12-11,"A Simple Plan",17000000,16316273,16316273,"Paramount Pictures","R","Drama"
"1954",2002-11-27,"Wes Craven Presents: They",17000000,12840842,16140842,"Miramax Dimension","PG-13","Horror"
"1955",1987-07-24,"Superman IV: The Quest for Peace",17000000,11227824,11227824,"Warner Bros","PG","Action"
"1956",2008-01-25,"How She Move",17000000,7070641,8607815,"Paramount Vantage","PG-13","Drama"
"1957",2006-02-24,"Running Scared",17000000,6855137,9729088,"New Line","R","Action"
"1958",2012-08-24,"The Apparition",17000000,4936819,10637281,"Warner Bros","PG-13","Horror"
"1959",2004-04-30,"Bobby Jones: Stroke of Genius",17000000,2694071,2694071,"Film Foundry","PG","Drama"
"1960",2010-12-25,"L'illusionniste",17000000,2231474,8609949,"Sony Pictures Classics","PG","Adventure"
"1961",1981-01-01,"Roar",17000000,2110050,2110050,NA,"PG","Adventure"
"1962",2003-10-17,"Veronica Guerin",17000000,1569918,9438074,"Walt Disney","R","Drama"
"1963",2016-06-10,"Genius",17000000,1361045,6942889,"Roadside Attractions","PG-13","Drama"
"1964",2015-06-26,"Escobar: Paradise Lost",17000000,195792,3917679,"RADiUS TWC","R","Drama"
"1965",2016-03-11,"The Young Messiah",16800000,6469813,7313697,"Focus Features","PG-13","Drama"
"1966",1991-11-27,"My Girl",16500000,58011485,58011485,"Sony Pictures","PG-13","Comedy"
"1967",1987-12-11,"Wall Street",16500000,43848100,43848100,"20th Century Fox","R","Drama"
"1968",1995-12-11,"Sense and Sensibility",16500000,42993774,134993774,"Sony Pictures","PG","Drama"
"1969",2006-08-18,"The Illusionist",16500000,39868642,83792062,"Yari Film Group Rel","PG-13","Drama"
"1970",2003-12-19,"House of Sand and Fog",16500000,13005485,16157923,"Dreamworks SKG","R","Drama"
"1971",2007-09-21,"Sydney White",16500000,11892415,13636339,"Universal","PG-13","Comedy"
